,y,N,i,d,K,x
306,0.36,4905,1,0,2,2
307,0.899,4905,1,0,2,2
308,0.39,4905,1,0,2,2
309,0.631,4905,0,1,2,2
310,0.508,4905,1,0,2,2
311,0.556,4905,1,0,2,2
312,0.18,4905,1,0,2,2
313,0.165,4905,1,0,2,2
314,1.783,4905,1,0,2,2
315,0.43400000000000005,4905,1,0,2,2
316,0.36,4905,1,0,2,2
317,1.306,4905,1,1,2,2
318,0.843,4905,1,1,2,2
319,0.299,4905,1,1,2,2
320,0.556,4905,1,0,2,2
321,1.052,4905,1,0,2,2
322,1.26,4905,1,0,2,2
323,0.225,4905,1,0,2,2
324,0.5680000000000001,4905,1,0,2,2
325,0.32599999999999996,4905,1,0,2,2
326,0.297,4905,1,0,2,2
327,0.15000000000000002,4905,1,0,2,2
328,0.146,4905,0,1,2,2
329,1.1600000000000001,4905,0,1,2,2
330,0.135,4905,0,1,2,2
331,0.09,4905,0,1,2,2
332,0.333,4905,0,1,2,2
333,0.10400000000000001,4905,1,0,2,2
334,0.259,4905,1,0,2,2
335,0.33,4905,1,0,2,2
336,0.06,4905,0,0,2,2
337,1.927,4905,0,0,2,2
338,0.312,4905,0,0,2,2
339,0.596,4905,0,0,2,2
340,0.10300000000000001,4905,0,1,2,2
341,1.6349999999999998,4905,0,1,2,2
342,0.34400000000000003,4905,0,1,2,2
343,1.027,4905,0,1,2,2
344,0.361,4905,0,1,2,2
345,0.674,4905,1,0,2,2
346,1.862,4905,1,0,2,2
347,0.252,4905,1,0,2,2
348,0.117,4905,1,0,2,2
349,0.375,4905,1,0,2,2
350,0.522,4905,1,0,2,2
351,0.327,4905,0,0,2,2
352,0.304,4905,0,0,2,2
353,0.303,4905,1,0,2,2
354,0.313,4905,1,0,2,2
355,0.09,4905,1,0,2,2
356,0.116,4905,1,0,2,2
357,1.2650000000000001,4905,1,0,2,2
358,0.34199999999999997,4905,1,0,2,2
359,1.13,4905,1,1,2,2
360,0.23500000000000001,4905,1,1,2,2
361,0.089,4905,1,1,2,2
362,0.27,4905,1,1,2,2
